id,name,code
school.faculty_faculty_1,Faculty of Administration,FADMIN
school.faculty_faculty_2,Faculty of Education,FEDU
school.faculty_faculty_3,Faculty of Engineering,FENG
school.faculty_faculty_4,Faculty of Environmental Design,FENV
school.faculty_faculty_5,Faculty of Law,FLAW
school.faculty_faculty_6,Faculty of Medicine,FMEDI
school.faculty_faculty_7,Faculty of Pharmaceutical Science,FPHARMA
school.faculty_faculty_8,Faculty of Science,FSCI
school.faculty_faculty_9,Faculty of Social Science,FSS
school.faculty_faculty_10,Faculty of Veterinary Medicine,FVM
school.faculty_faculty_11,Faculty of Agriculture,FAGRI
school.faculty_faculty_12,Faculty of Arts,FARTS
